,GDP,GDP_scaled
2022-11-21,26921.350329014473,95.52134078169584
2022-11-22,26926.406037854555,95.5289800725716
2022-11-23,26931.459709887393,95.53661628578536
2022-11-24,26936.511345113104,95.5442494213373
2022-11-25,26941.560943531804,95.55187947922758
2022-11-26,26946.60850514326,95.55950645945586
2022-11-27,26951.65402994753,95.56713036202223
2022-11-28,26956.697517944616,95.57475118692668
2022-11-29,26961.738969134632,95.58236893416938
2022-11-30,26966.77838351752,95.58998360375027
2022-12-01,26971.81576109311,95.59759519566907
2022-12-02,26976.851101861626,95.60520370992613
2022-12-03,26981.884405823017,95.61280914652136
2022-12-04,26986.91567297728,95.62041150545477
2022-12-05,26991.9449033243,95.62801078672616
2022-12-06,26996.972096864134,95.63560699033565
2022-12-07,27001.997253596957,95.64320011628348
2022-12-08,27007.020373522595,95.6507901645694
2022-12-09,27012.04145664099,95.65837713519332
2022-12-10,27017.060502952198,95.66596102815534
2022-12-11,27022.077512456395,95.6735418434557
2022-12-12,27027.092485153407,95.68111958109412
2022-12-13,27032.105421043176,95.68869424107056
2022-12-14,27037.116320125817,95.69626582338518
2022-12-15,27042.12518240139,95.70383432803806
2022-12-16,27047.132007869775,95.711399755029
2022-12-17,27052.13679653092,95.71896210435796
2022-12-18,27057.139548384934,95.72652137602509
2022-12-19,27062.14026343194,95.73407757003056
2022-12-20,27067.13894167164,95.74163068637395
2022-12-21,27072.135583104216,95.74918072505552
2022-12-22,27077.130187729665,95.75672768607527
2022-12-23,27082.122755547985,95.76427156943316
2022-12-24,27087.113286559063,95.77181237512907
2022-12-25,27092.101780763012,95.77935010316315
2022-12-26,27097.088238159835,95.7868847535354
2022-12-27,27102.07265874959,95.79441632624591
2022-12-28,27107.05504253204,95.80194482129434
2022-12-29,27112.035389507306,95.80947023868086
2022-12-30,27117.01369967556,95.81699257840572
2022-12-31,27121.98997303669,95.82451184046874
2023-01-01,27216.445,95.9672355313447
2023-01-02,27131.936409337213,95.8395411316088
2023-01-03,27136.906572276843,95.84705116068618
2023-01-04,27141.874698409287,95.85455811210164
2023-01-05,27146.840787734487,95.86206198585509
2023-01-06,27151.80484025256,95.86956278194674
2023-01-07,27156.766855963564,95.87706050037661
2023-01-08,27161.72683486744,95.88455514114469
2023-01-09,27166.684776964074,95.89204670425076
2023-01-10,27171.64068225352,95.89953518969492
2023-01-11,27176.5945507359,95.90702059747733
2023-01-12,27181.54638241115,95.91450292759791
2023-01-13,27186.4961772791,95.9219821800564
2023-01-14,27191.44393533998,95.92945835485315
2023-01-15,27196.389656593732,95.93693145198809
2023-01-16,27201.333341040357,95.94440147146119
2023-01-17,27206.27498867974,95.9518684132723
2023-01-18,27211.214599511935,95.95933227742148
2023-01-19,27216.152173537062,95.96679306390894
2023-01-20,27221.087710755062,95.97425077273455
2023-01-21,27226.02121116582,95.98170540389818
2023-01-22,27230.952674769447,95.98915695739996
2023-01-23,27235.88210156595,95.99660543323992
2023-01-24,27240.80949155538,96.00405083141816
2023-01-25,27245.73484473751,96.0114931519343
2023-01-26,27250.658161112457,96.01893239478852
2023-01-27,27255.57944068039,96.02636855998108
2023-01-28,27260.49868344114,96.03380164751175
2023-01-29,27265.415889394702,96.0412316573805
2023-01-30,27270.33105854102,96.04865858958723
2023-01-31,27275.24419088033,96.05608244413233
2023-02-01,27280.15528641251,96.0635032210156
2023-02-02,27285.06434513739,96.07092092023676
2023-02-03,27289.971367055143,96.07833554179611
2023-02-04,27294.876352165826,96.08574708569371
2023-02-05,27299.77930046938,96.0931555519295
2023-02-06,27304.680211965635,96.10056094050319
2023-02-07,27309.579086654878,96.10796325141523
2023-02-08,27314.475924536935,96.11536248466535
2023-02-09,27319.37072561175,96.12275864025347
2023-02-10,27324.263489879435,96.13015171817977
2023-02-11,27329.154217339994,96.13754171844424
2023-02-12,27334.042907993484,96.14492864104697
2023-02-13,27338.92956183967,96.15231248598761
2023-02-14,27343.814178878732,96.15969325326643
2023-02-15,27348.696759110724,96.1670709428835
2023-02-16,27353.57730253553,96.17444555483867
2023-02-17,27358.45580915315,96.18181708913191
2023-02-18,27363.332278963528,96.18918554576317
2023-02-19,27368.206711966952,96.19655092473283
2023-02-20,27373.079108163132,96.20391322604053
2023-02-21,27377.949467552127,96.21127244968628
2023-02-22,27382.817790133937,96.21862859567014
2023-02-23,27387.684075908677,96.22598166399226
2023-02-24,27392.54832487629,96.23333165465253
2023-02-25,27397.4105370366,96.24067856765072
